what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1321270689322
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1321270689323
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1321270689323
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1321270689324
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1321270689324
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1321270689325
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1321270689325
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1321270689326
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1321270689326
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1321270689328
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1321270689329
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1321270689329
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1321270689330
os,sysinfo,,,"linux",1321270689333
arch,sysinfo,,,"x86",1321270689333
ws,sysinfo,,,"gtk",1321270689333
locale,sysinfo,,,"en_US",1321270689333
processors,sysinfo,,,"1",1321270689333
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1321270689333
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1321270689333
java.specification.name,sysinfo,,,"Java Platform API Specification",1321270689333
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321270689333
java.specification.version,sysinfo,,,"1.6",1321270689333
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321270689333
java.version,sysinfo,,,"1.6.0_20",1321270689333
java.vm.info,sysinfo,,,"mixed mode, sharing",1321270689333
java.vm.name,sysinfo,,,"OpenJDK Client VM",1321270689333
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321270689333
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321270689333
java.vm.specification.version,sysinfo,,,"1.0",1321270689333
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321270689333
java.vm.version,sysinfo,,,"19.0-b09",1321270689333
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321270690814
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1321270690879
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1321270690884
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321270693896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321270718796
started,bundle,org.eclipse.dltk.console.ui,2.0.0.v20091203-1154,"org.eclipse.dltk.console.ui",1321270720293
started,bundle,org.eclipse.dltk.tcl.ui,2.0.0.v20100524-0038,"org.eclipse.dltk.tcl.ui",1321270720293
started,bundle,org.eclipse.dltk.tcl.core,2.0.0.v20100524-0038,"org.eclipse.dltk.tcl.core",1321270720296
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1321270720300
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1321270720310
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1321270722501
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1321270722542
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1321270722550
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321270725132
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1321270729205
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1321270729809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1321270729810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321270729842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321270740232
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1321270774671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1321270774671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321270774696
