what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.javascript.jsjdtdebugger,2.0.0.v20100222-1537,"org.eclipse.dltk.javascript.jsjdtdebugger",1321335151779
started,bundle,org.eclipse.dltk.python.activestatedebugger,1.0.0.v20090815,"org.eclipse.dltk.python.activestatedebugger",1321335151783
started,bundle,org.eclipse.dltk.ruby.activestatedebugger,1.0.0.v20090730-1127,"org.eclipse.dltk.ruby.activestatedebugger",1321335151786
started,bundle,org.eclipse.dltk.ruby.basicdebugger,1.0.0.v20090730-1127,"org.eclipse.dltk.ruby.basicdebugger",1321335151798
started,bundle,org.eclipse.dltk.ruby.fastdebugger,1.0.0.v20100524-0038,"org.eclipse.dltk.ruby.fastdebugger",1321335151807
started,bundle,org.eclipse.dltk.tcl.activestatedebugger,2.0.0.v20091028-1402,"org.eclipse.dltk.tcl.activestatedebugger",1321335151832
started,bundle,org.eclipse.dltk.python.debug,1.0.0.v20090708-1856,"org.eclipse.dltk.python.debug",1321335151845
started,bundle,org.eclipse.dltk.javascript.debug,1.0.0.v20090708-1856,"org.eclipse.dltk.javascript.debug",1321335151877
started,bundle,org.eclipse.dltk.ruby.debug,1.0.0.v20090730-1127,"org.eclipse.dltk.ruby.debug",1321335151884
started,bundle,org.eclipse.dltk.tcl.debug,1.0.0.v20090730-1127,"org.eclipse.dltk.tcl.debug",1321335151887
started,bundle,net.sf.octclipse.debug,0.9.1,"net.sf.octclipse.debug",1321335151892
error,log,,,"Debugger process was unexpectedly terminated",1321335152122
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1321335152277
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1321335152282
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1321335152283
started,bundle,org.python.pydev.debug,2.2.4.2011110216,"org.python.pydev.debug",1321335152292
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321335152560
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321335155700
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321335156378
error,log,,,"Invalid preference page path: Web Page Editor",1321335159333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321335159548
started,bundle,com.python.pydev.debug,2.2.4.2011110216,"com.python.pydev.debug",1321335165033
started,bundle,org.python.pydev.red_core,2.2.4.2011110216,"org.python.pydev.red_core",1321335167781
started,bundle,org.python.pydev.parser,2.2.4.2011110216,"org.python.pydev.parser",1321335167877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321335193699
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321335195099
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1321335195917
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1321335195946
started,bundle,net.sf.eclipsefp.ocaml.ui,0.1.0,"net.sf.eclipsefp.ocaml.ui",1321335195956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321335197820
error,log,,,"Unable to get project for the run",1321335217830
error,log,,,"Could not recognize: 'org.python.pydev.django.launching.DjangoLaunchConfigurationType' using default python interpreter manager.",1321335217832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321335235387
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321335236865
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321335236885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321335240098
started,bundle,org.eclipse.dltk.ruby.ui,2.0.0.v20100524-0038,"org.eclipse.dltk.ruby.ui",1321335692343
started,bundle,org.eclipse.dltk.javascript.ui,2.0.0.v20100520-2203,"org.eclipse.dltk.javascript.ui",1321335692368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321336503840
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321336506365
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321336512621
started,bundle,org.eclipse.cdt.debug.gdbjtag.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.gdbjtag.ui",1321404151773
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1321404153339
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1321404153619
started,bundle,org.eclipse.cdt.debug.gdbjtag.core,7.0.0.201102110609,"org.eclipse.cdt.debug.gdbjtag.core",1321404153643
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404154235
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404155567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404198818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404201325
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321404207296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404209611
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321404210631
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1321404213215
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1321404213274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404213425
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404214798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404217239
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404218073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404222681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404223642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404225528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404247049
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404255835
started,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1321404260171
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1321404260536
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1321404260799
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1321404261192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404261294
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1321404262780
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1321404265409
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1321404265446
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1321404266110
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321404266843
executed,command,,,"AUTOGEN:::org.eclipse.dltk.python.internal.ui.editor.PythonEditor.ruler/org.eclipse.dltk.python.internal.ui.editor.PythonSelectRulerAction",1321404275515
executed,command,,,"AUTOGEN:::org.eclipse.dltk.python.debug.PythonEditor.BreakpointRulerActions/PythonEditor.doubleClickBreakpointAction",1321404276304
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1321404277972
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1321404278011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404289322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404293474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404294934
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404295823
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404296282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404301458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321404305554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321443389312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321443391736
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321443475833
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321443476261
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321444922152
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321444923869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321501437004
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321501438232
activated,perspective,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CPerspective",1321501441315
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321501442848
