what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320819940
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1321320820417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320822713
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1321320837372
error,log,,,"Part already exists in page layout: org.eclipse.ui.console.ConsoleView.",1321320841685
error,log,,,"Part already exists in page layout: org.eclipse.ui.views.BookmarkView.",1321320841685
opened,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.ScriptExplorer",1321320842386
activated,perspective,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.PythonPerspective",1321320842448
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321320842495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320842744
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.ScriptExplorer",1321320844014
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320847109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320862885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321320874123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321320875894
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320878406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321320880909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320880962
no handler,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy",1321320881986
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321320882368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321320883703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321320883705
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321320884040
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321320884120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320884878
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321320885044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320885079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321320886245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321320891097
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321320899910
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321320900055
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.ScriptExplorer",1321320900213
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321320901306
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.ScriptExplorer",1321320905325
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321320909582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321320913309
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320913356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320913377
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321320914906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321320916219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320916226
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320916247
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1321320918007
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321320919414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320919417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321320919434
opened,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321320920668
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321320920984
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.ScriptExplorer",1321320921028
opened,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321320922806
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321320922947
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.ScriptExplorer",1321320922995
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321320923440
