what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1321332423681
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1321332423701
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1321332423701
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1321332423727
os,sysinfo,,,"linux",1321332423737
arch,sysinfo,,,"x86",1321332423737
ws,sysinfo,,,"gtk",1321332423737
locale,sysinfo,,,"en_US",1321332423737
processors,sysinfo,,,"1",1321332423758
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1321332423758
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1321332423758
java.specification.name,sysinfo,,,"Java Platform API Specification",1321332423758
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321332423758
java.specification.version,sysinfo,,,"1.6",1321332423758
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321332423758
java.version,sysinfo,,,"1.6.0_20",1321332423758
java.vm.info,sysinfo,,,"mixed mode, sharing",1321332423758
java.vm.name,sysinfo,,,"OpenJDK Client VM",1321332423758
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321332423758
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321332423758
java.vm.specification.version,sysinfo,,,"1.0",1321332423758
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321332423758
java.vm.version,sysinfo,,,"19.0-b09",1321332423758
error,log,,,"Invalid preference page path: Web Page Editor",1321332432437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332432859
started,bundle,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui",1321332437256
started,bundle,org.eclipse.dltk.python.debug.ui,2.0.0.v20091014-2322,"org.eclipse.dltk.python.debug.ui",1321332438385
started,bundle,org.eclipse.dltk.debug,2.0.0.v20091110-1532,"org.eclipse.dltk.debug",1321332438631
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1321332439422
started,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1321332439545
started,bundle,org.eclipse.dltk.python.debug,1.0.0.v20090708-1856,"org.eclipse.dltk.python.debug",1321332439957
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1321332440844
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1321332440911
started,bundle,org.eclipse.dltk.javascript.jsjdtdebugger,2.0.0.v20100222-1537,"org.eclipse.dltk.javascript.jsjdtdebugger",1321332442069
started,bundle,org.eclipse.dltk.python.activestatedebugger,1.0.0.v20090815,"org.eclipse.dltk.python.activestatedebugger",1321332442094
started,bundle,org.eclipse.dltk.ruby.activestatedebugger,1.0.0.v20090730-1127,"org.eclipse.dltk.ruby.activestatedebugger",1321332442119
started,bundle,org.eclipse.dltk.ruby.basicdebugger,1.0.0.v20090730-1127,"org.eclipse.dltk.ruby.basicdebugger",1321332442141
started,bundle,org.eclipse.dltk.ruby.fastdebugger,1.0.0.v20100524-0038,"org.eclipse.dltk.ruby.fastdebugger",1321332442159
started,bundle,org.eclipse.dltk.tcl.activestatedebugger,2.0.0.v20091028-1402,"org.eclipse.dltk.tcl.activestatedebugger",1321332442218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1321332466471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332473318
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321332474617
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1321332478233
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1321332478416
started,bundle,net.sf.eclipsefp.ocaml.ui,0.1.0,"net.sf.eclipsefp.ocaml.ui",1321332478497
started,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1321332484143
started,bundle,org.eclipse.dltk.javascript.formatter,2.0.0.v20100505-1154,"org.eclipse.dltk.javascript.formatter",1321332484153
started,bundle,org.eclipse.dltk.ruby.formatter,2.0.0.v20100212-1450,"org.eclipse.dltk.ruby.formatter",1321332484309
started,bundle,org.eclipse.dltk.tcl.formatter,2.0.0.v20100616-2015,"org.eclipse.dltk.tcl.formatter",1321332484364
opened,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321332484665
started,bundle,org.eclipse.dltk.console.ui,2.0.0.v20091203-1154,"org.eclipse.dltk.console.ui",1321332485549
started,bundle,org.eclipse.dltk.tcl.ui,2.0.0.v20100524-0038,"org.eclipse.dltk.tcl.ui",1321332485592
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321332485839
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321332485887
started,bundle,org.eclipse.dltk.javascript.ui,2.0.0.v20100520-2203,"org.eclipse.dltk.javascript.ui",1321332486738
started,bundle,org.eclipse.dltk.ruby.ui,2.0.0.v20100524-0038,"org.eclipse.dltk.ruby.ui",1321332486835
started,bundle,org.eclipse.dltk.xotcl.ui,1.0.0.v20100115-2213,"org.eclipse.dltk.xotcl.ui",1321332486835
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1321332487409
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1321332487480
started,bundle,org.eclipse.dltk.tcl.tclchecker,1.0.0.v200909260103,"org.eclipse.dltk.tcl.tclchecker",1321332487579
started,bundle,org.eclipse.dltk.javascript.debug,1.0.0.v20090708-1856,"org.eclipse.dltk.javascript.debug",1321332487868
started,bundle,org.eclipse.dltk.ruby.debug,1.0.0.v20090730-1127,"org.eclipse.dltk.ruby.debug",1321332487931
started,bundle,org.eclipse.dltk.tcl.debug,1.0.0.v20090730-1127,"org.eclipse.dltk.tcl.debug",1321332487940
started,bundle,net.sf.octclipse.debug,0.9.1,"net.sf.octclipse.debug",1321332488012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332488198
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1321332490212
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1321332490287
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332490969
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321332692305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332694142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332710215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332712441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332734005
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321332735426
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1321332736102
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1321332736149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332738245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1321332746928
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332746940
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321332748280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332751042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332754573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332758014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332762278
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332764246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332780870
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321332783328
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321332783343
activated,editor,org.eclipse.dltk.python.ui,1.0.0.v20100513-1043,"org.eclipse.dltk.python.ui.editor.PythonEditor",1321332784114
error,log,,,"Debugger process was unexpectedly terminated",1321332786097
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1321332786273
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1321332786285
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1321332786304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332786614
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332799322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332801554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332825565
error,log,,,"Debugger process was unexpectedly terminated",1321332827844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332827959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332836026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332836916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332837516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332839692
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332922872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321332926524
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1321332930194
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1321332930276
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1321334425991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321334426015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321334428798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321334602520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321334604609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321334605362
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1321334607704
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1321334607862
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1321334607954
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1321334608078
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1321334608108
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321334608603
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1321334622568
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1321334674524
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1321334674545
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1321334682570
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1321334686151
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1321334686249
