what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_20",1320477921752
java.vm.info,sysinfo,,,"mixed mode, sharing",1320477921752
java.vm.name,sysinfo,,,"OpenJDK Client VM",1320477921752
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320477921752
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320477921752
java.vm.specification.version,sysinfo,,,"1.0",1320477921752
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1320477921752
java.vm.version,sysinfo,,,"19.0-b09",1320477921752
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320478069853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320478074078
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320478075016
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1320478075290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320478075327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320478075780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320478082490
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320478099911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320478150363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1320478264563
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1320478283797
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320478287960
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320478294936
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1320478296066
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1320478296086
